alpha
0.05
0.26
0.16
0.54
0.34
0.64
0.37
0.31
0.43
0.07
0.30
0.24
